Time,Room,Title,Speaker,Audience,Description,title_norm,session_url
9:45–10:30am,Woulfe North,Beyond the Black Box: A Practitioner's Framework for Systematic Bias Assessment in AI Models,Carissa Merrill,Non-Technical ( 30-40 minutes ),"As AI models become increasingly integrated into user-facing products, the need for rigorous bias assessment has shifted from academic curiosity to business imperative. This presentation introduces a systematic framework for bias assessment that bridges the gap between research rigor and practical application.",beyond the black box: a practitioner's framework for systematic bias assessment in ai models,/conference/session/Beyond%20the%20Black%20Box%3A%20A%20Practitioner's%20Framework%20for%20Systematic%20Bias%20Assessment%20in%20AI%20Models
9:45–10:30am,Woulfe South,Lean meets AI - The Future of Flow: Humans + LLMs by Design,Steve Zielinski,"Non-Technical ( 30-40 minutes ), Management/Administration, Business","This session will explore how Lean principles and AI can intersect to eliminate waste, accelerate flow, and unlock new levels of innovation. Drawing on concrete, real-world examples, we'll illuminate how forward-thinking organizations are building LLM-first workflows.",lean meets ai - the future of flow: humans + llms by design,/conference/session/Lean%20meets%20AI%20-%20The%20Future%20of%20Flow%3A%20Humans%20%2B%20LLMs%20by%20Design
9:45–10:30am,Scooters,Embracing AI in the Classroom (and Industry),"Dr. Sean Masterman, Ed.D","Non-Technical ( 30-40 minutes ), Education, Government, Non-Profit, Management/Administration, Business, Industry",AI is rapidly becoming a key business tool that will become a critical partner for the future workforce. This session will share strategies to help students understand AI's strengths and weaknesses and how to effectively partner with AI.,embracing ai in the classroom (and industry),/conference/session/Embracing%20AI%20in%20the%20Classroom%20(and%20Industry)
9:45–10:30am,Lyden,Why Creatives Will Be The Next Tech Giants,Caroline Swift Holden,"Non-Technical ( 30-40 minutes ), Business","This talk challenges the traditional divide between creative and technical work, showing how creative thinkers are uniquely positioned to build, shape, and lead in the AI era.",why creatives will be the next tech giants,/conference/session/Why%20Creatives%20Will%20Be%20The%20Next%20Tech%20Giants
9:45–10:30am,Dance LL07,AI in Gastroenterology: Revolutionizing Care and Documentation,Senthil Kumaran,"Non-Technical ( 30-40 minutes ), Education, Management/Administration, Business",This submission explores how AI is revolutionizing the field of gastroenterology by focusing on two core applications: advanced procedural assistance and intelligent documentation.,ai in gastroenterology: revolutionizing care and documentation,/conference/session/AI%20in%20Gastroenterology%3A%20Revolutionizing%20Care%20and%20Documentation
9:45–10:30am,Dining,Saving Lives and Millions: AI Transforms Avalanche Forecasting,Mark Teskey and Chad Brackelsberg,"Technical ( 30-40 minutes ), Industry","This session explores how AI is revolutionizing avalanche forecasting, saving lives and millions of dollars through advanced predictive modeling and real-time data analysis.",saving lives and millions: ai transforms avalanche forecasting,/conference/session/Saving%20Lives%20and%20Millions%3A%20AI%20Transforms%20Avalanche%20Forecasting
10:45–11:30am,Scooters,AI-Assisted Tools: 4-Part Prompt Pattern & Build Heuristic,Kevin Jourdain,"Technical ( 30-40 minutes ), Business, Industry",Kevin Jourdain shares lessons from Improving's applied AI journey—showcasing how developers can supercharge productivity through an AI Build Loop and a simple 4-Part Prompt Pattern.,ai-assisted tools: 4-part prompt pattern & build heuristic,/conference/session/AI-Assisted%20Tools%3A%204-Part%20Prompt%20Pattern%20%26%20Build%20Heuristic
10:45–11:30am,Woulfe North,The Road to AI Autonomy: Swifty's Journey from Assistant to Agent,Dave Mathias,"Non-Technical ( 30-40 minutes ), Business, Industry",This session takes you through the transformative journey of Shipwell's Swifty AI as it evolved from a workflow agent to a fully autonomous assistant.,the road to ai autonomy: swifty's journey from assistant to agent,/conference/session/The%20Road%20to%20AI%20Autonomy%3A%20Swifty's%20Journey%20from%20Assistant%20to%20Agent
10:45–11:30am,Woulfe South,Accessibility + AI: Why Keeping Humans in the Loop Matters,Valerie Lockhart,"Non-Technical ( 30-40 minutes ), Technical ( 30-40 minutes ), Education, Government, Non-Profit, Management/Administration, Business, Industry","We'll explore the strengths and weaknesses of AI in accessibility and education, why human testing is essential, and how to use AI to enhance accessibility without replacing human insight.",accessibility + ai: why keeping humans in the loop matters,/conference/session/Accessibility%20%2B%20AI%3A%20Why%20Keeping%20Humans%20in%20the%20Loop%20Matters
10:45–11:30am,Scooters,How AI Keeps the Students Up at Night,Thomas Feeney,"Non-Technical ( 30-40 minutes ), Education",A discussion about the impact of AI on education and student concerns about the future of learning and work.,how ai keeps the students up at night,/conference/session/How%20AI%20Keeps%20the%20Students%20Up%20at%20Night
